,Prompt,GT
15,What is the primary principle behind job rotation in an organization from a security perspective? **Options:** A) To increase operational efficiency by allowing a single person to control a process from initiation through to completion. B) To reduce staff costs and expenses. C) To prevent promotion of staff members. D) To enhance the training of key personnel and reduce risks through lack of trained personnel during vacations or illnesses.,D
16,What is the primary advantage of the Kerberos authentication protocol? **Options:** A) It uses symmetric encryption to transmit keys and passwords securely B) It requires frequent password transmissions for access C) It stores passwords openly as hashes for easy validation D) It sends the password in clear text for authentication,A
17,What is the term used for the computational method that determines all primes less than or equal to a given number by removing the multiples of preceding integers? **Options:** A) Euler's Theorem B) RSA Algorithm C) The Sieve of Eratosthenes D) RSA Encryption,C
18,"In cybersecurity, which of the following best describes integrity as part of the CIA triad? **Options:** A) Ensuring data is available when needed B) Ensuring that data is only accessible by authorized individuals C) Encrypting data to prevent unauthorized access D) Protecting data from unauthorized modification",D
19,What is one reason why terrorists may despise America and the West? **Options:** A) Wealth and leading industrial power B) Because of their geographic isolation C) Because of their conformity with religious values D) Perceived lack of influence over the actions of other governments,A
20,What is the principle of granting programs or people access only to those resources necessary to complete a specific task or their job? **Options:** A) Data hiding B) Abstraction C) Layering D) Least privilege,D
21,"In a rotor machine, what happens when the rotor is rotated counterclockwise by 5 positions? **Options:** A) The substitution mapping is shifted by 5 positions in the same direction. B) The substitution mapping remains unchanged. C) The rotor stops functioning. D) The substitution mapping is shifted by 5 positions in the opposite direction.",A
22,Which term best describes an outcome of the use of privacy policies that is both unexpected and leads to either the provider or the consumer or both experiencing a loss? **Options:** A) Positive unexpected outcome B) Negative expected outcome C) Unexpected negative outcome D) Expected mutual benefit,C
23,Which security practice focuses on ensuring that default settings and configurations are secure and require deliberate changes to weaken security measures? **Options:** A) Principle of Least Authority B) Defense in Depth C) Least Privilege D) Secure by Default,D
24,Which post-quantum signature schemes are based on the hardness of the learning with errors problem? **Options:** A) RSA and DSA B) DH and ECDSA C) NTRU and Ring-LWE D) Lattice and ECC,C
25,What is the term for the maximum amount of time a system or process can be offline before the business can no longer recover? **Options:** A) Maximum Tolerable Downtime (MTD) B) Recovery Time Objective (RTO) C) Business Continuity Deadline (BCD) D) System Outage Tolerance (SOT),A
26,"In a Linux/UNIX environment, which command is used to change the permissions mode of a file or directory? **Options:** A) chown B) usermod C) cacls D) chmod",D
27,What is the main objective of using the nbtstat command? **Options:** A) To troubleshoot name-resolution issues B) To gather user and group information remotely C) To change account passwords remotely D) To perform a zone transfer,A
28,Which of the following authentication methods involves the use of a combination of something the user knows and something the user has? **Options:** A) RADIUS authentication B) Single sign-on C) Biometrics D) Two-factor authentication,D
29,Which type of application control policy allows only certain applications to run on client computers and denies everything else? **Options:** A) Blacklisting B) Whitelisting C) Patching D) Hotfixing,B
30,What is the process of changing the order of some characters in an encryption key? **Options:** A) Transrelation B) Transposition C) Substitution D) Subtraction,B
31,Which learning level focuses on creating a minimum standard understanding of security issues across the entire organization? **Options:** A) Awareness B) Education C) Certification D) Training,A
32,A cloud environment can be in which of the following configurations except? **Options:** A) PaaS B) IaaS C) LaaS D) SaaS,C
33,A CISSP is expected to be capable of establishing and maintaining security awareness and training to help in the prevention of ____? **Options:** A) Escalation from an Incident to a Disaster B) Social Engineering Attacks C) Lack of Due Care and Diligence D) Privilege Escalation,B
34,What is the primary threat to medical privacy? **Options:** A) Physical theft of medical records B) Computer networks compromised by malware C) Insufficient encryption D) Insider abuse of authorized access,D
35,Which book listed basic operating instructions for the PURPLE machine? **Options:** A) Ko codebook B) Suruga codebook C) Iwakura codebook D) Otsu codebook,A
36,"What does PGP use to encrypt messages for transmission and storage? **Options:** A) CAST-128, IDEA, and 3DES B) DES and Diffie-Hellman C) MAC and DSS D) RSA and SHA-1",A
37,What is the purpose of a data dictionary in the context of an application system? **Options:** A) To record data structures used by an application B) To enforce the organization's security policy and procedures C) To provide checks for data consistency and accuracy D) To maintain program comments and database consistency,A
38,What type of network architecture is designed to factor in the different stages of an attack life cycle and provide visibility into the environment for monitoring? **Options:** A) Defensible Network Architecture B) Defense in Depth C) Defense in Breadth D) Unified Threat Management,A
39,Which of the security triad properties does the Biba security model relate to? **Options:** A) Availability B) All of them C) Confidentiality D) Integrity,D
40,What aspect of a computer room design might be omitted in a distributed environment? **Options:** A) Special air conditioning systems B) Cable chase-ways C) Power conditioning D) Raised flooring,D
41,What is the main function of virus signature scanning in antivirus software? **Options:** A) To monitor network traffic B) To prevent unauthorized access to the system C) To identify known patterns of malicious code D) To optimize system memory usage,C
42,What does the term 'bug bounty' refer to in the context of cybersecurity? **Options:** A) A malicious software program designed to exploit system vulnerabilities B) A type of denial-of-service attack targeting network infrastructure C) A reward paid to individuals for reporting valid security vulnerabilities D) A security standard for IoT devices,C
43,"Which attack type is primarily motivated by political interests, typically organizing themselves into groups and using tools like DDoS attacks? **Options:** A) Business attack B) Thrill attack C) Grudge attack D) Hacktivist attack",D
44,Which practice should be followed when vulnerabilities are identified by vulnerability scanners? **Options:** A) Lower the severity of the findings to reduce unnecessary actions B) Identify a remediation plan for any identified vulnerabilities C) Ignore the results to avoid causing failures in the target systems D) Increase the severity of the findings to ensure they are addressed,B
45,What should be the main focus of strategy development in continuity planning? **Options:** A) To determine which risks are acceptable and require no mitigation. B) To develop a continuity of operations plan (COOP). C) To identify alternate sites for business operations. D) To create mechanisms and procedures for protection against identified risks.,D
46,Which of the following protocols can be support both IPv4 and IPv6? **Options:** A) Transmission Control Protocol (TCP) B) Encapsulating Security Payload (ESP) C) Labeled IPsec D) All of the above,D
47,What is the primary goal of the birthday paradox in the context of cryptography? **Options:** A) Finding collisions in hash functions B) Generating cryptographic keys C) Breaking symmetric encryption D) Cracking digital signatures,A
48,What is the goal of electronic warfare? **Options:** A) To control the electromagnetic spectrum B) To intercept and analyze enemy communications C) To protect friendly communications from interception D) To physically destroy the enemy's communications networks,A
49,What is the main purpose of enumeration? **Options:** A) To initiate connections to a system to find vulnerable points B) To execute directed queries at a host to extract additional information C) To gather information from various open source locations D) To determine the open and closed ports on a target system,B
50,What is the technique used in an IV attack? **Options:** A) Manipulating the source MAC address in network traffic B) Sending numerous packets to a switch with different source MAC addresses C) Observing the operation of a cipher using several different keys D) Masking the MAC address of a computer's network adapter,C
51,"When confidential documents are exposed to unauthorized entities, which element of STRIDE is used to reference that violation? **Options:** A) I - Information disclosure B) R - Repudiation C) S - Spoofing D) T - Tampering",A
52,What is CPTED? **Options:** A) Community Policing and Traffic Enforcement Department B) Crime Prevention Through Environmental Design C) Crisis Preparedness and Threat Evaluation Directive D) Criminal Prevention and Threat Elimination Division,B
53,What is the main benefit of a honeypot with respect to an incident investigation? **Options:** A) It captures evidence in the form of digital fingerprints for incident investigation. B) It allows potential vulnerabilities to be patched before they are exploited in a live environment. C) It offers real services and vulnerabilities to entice inbound attacks. D) It provides an isolated environment for testing and analyzing system vulnerabilities.,A
54,What is the purpose of encrypting data? **Options:** A) To increase data accessibility B) To compress the data C) To make the data unreadable to unauthorized users D) To track data usage,C
55,What conclusion can be drawn if a primary data center resides within a 100-year flood plain? **Options:** A) The last significant flood to hit the area was more than 100 years ago. B) The last flood of any kind to hit the area was more than 100 years ago. C) The odds of a flood at this level are 1 in 100 in any given year. D) The area is expected to be safe from flooding for at least 100 years.,C
56,What does a complete set of subcribs of a crib in columnar transposition allow for? **Options:** A) Partial determination of the transposition B) Determining the plaintext directly C) Encrypting the ciphertext D) Randomizing the encryption process,A
57,Which network security control system is used to detect the signature of known attacks at the network level? **Options:** A) Intrusion Detection System (IDS) B) Anti-virus System C) Firewall D) Virtual Private Network (VPN),A
58,The Clark-Wilson model focuses on data's: **Options:** A) Format B) Availability C) Integrity D) Confidentiality,C
59,ARP broadcasts messages on the LAN to find what? **Options:** A) MAC address B) Router C) Hostname D) IP address,A
60,Which of the following manages digital certificates? **Options:** A) Certificate authority B) Hub C) Public key D) Police,A
61,What does a firewall protect against in a network? **Options:** A) Physical break-ins B) Power outages C) Unauthorized access D) Data corruption,C
62,What is the purpose of Mobile Device Management (MDM) in an enterprise environment? **Options:** A) To push security policies and manage mobile devices B) To remote lock and wipe personal devices C) To encourage the use of unsecured devices D) To track users' personal activities on their devices,A
63,What is the main purpose of region coding in DVD technology? **Options:** A) To minimize the cost of producing physical film prints for use in movie theatres B) To restrict DVDs to specific regions for global release planning C) To prevent unauthorized access to DVD content D) To enable cross-compatibility among different DVD players,B
64,What is the primary function of the Configuration Control Board (CCB) in Configuration Control? **Options:** A) To serve as a central directing entity for the change process B) To maintain configuration status accounting reports C) To minimize the negative impact of system changes D) To supervise documentation change control,A
65,"How did the initial GSM security mechanisms' protection level compare to that of wireline networks in the context of A5/1 usage? **Options:** A) Provided slightly better protection in countries allowed to use A5/1, but slightly worse elsewhere B) Offered uniform protection across all countries, irrespective of A5/1 usage C) Provided significantly higher protection in countries not using A5/1 D) Offered less protection than wireline networks regardless of A5/1 usage.",A
66,What is the primary function of a Network layer in the OSI model? **Options:** A) Ensuring the transport of data is successful B) Identifying established system sessions C) Determining the path of data packets D) Providing a translation of data,C
67,What cryptographic method is implemented through a key that consists of a random set of non-repeating characters? **Options:** A) Transposition cipher B) Book or Running Key Cipher C) Vernam Cipher (One-Time Pad) D) Steganography,C
68,NIST developed the Risk Management Framework (RMF). What is the second step of the RMF? **Options:** A) Perform a Business Impact Analysis B) Assess the security controls C) Select an initial set of baseline security controls D) Categorize the information system,C
69,Which of the following best identifies the benefit of a passphrase? **Options:** A) It is easy to crack. B) It is short. C) It includes a single set of characters. D) It is easy to remember.,D
70,What is an essential consideration when evaluating the costs and benefits of security measures? **Options:** A) Minimization of all costs B) Potential for personal gain C) Solely monetary costs D) Direct and indirect costs,D
71,What is the purpose of using concatenation as an obfuscation technique in cyber attacks? **Options:** A) To encrypt the data B) To compress the data C) To add redundant data for confusion D) To divide and make the code difficult to understand,D
72,Which wireless networking standard operates solely at 5 GHz? **Options:** A) 802.11ac B) 802.11ax C) 802.11n D) 802.11g,A
73,Which organization initiated efforts to develop the network communication model? **Options:** A) IETF B) W3C C) ISO D) IEEE,C
74,What technique does nonstatistical sampling rely on to help focus on specific events? **Options:** A) Clipping Levels B) Syslog C) Traffic Analysis D) Monitoring Tools,A
75,Which organization provides the Trustworthy Software Framework? **Options:** A) Software Engineering Institute (SEI) B) National Cyber Security Centre (NCSC) C) Trustworthy Software Foundation (TSF) D) US National Institute of Standards and Technology (NIST),C
76,What was one of the significant consequences of the Morris worm's spread? **Options:** A) It highlighted the vulnerability of the Internet to self-sustaining worm attacks B) Many system administrators panicked and disconnected their systems C) It prompted the establishment of the Computer Emergency Response Team (CERT) D) All of the above,D
77,What is the primary function of a network Intrusion Detection System (IDS)? **Options:** A) To authenticate users before allowing network access B) To encrypt all data passing through the network C) To block unauthorized access to the network D) To monitor and analyze network traffic for potential security threats,D
78,What method may an organization use to ensure ongoing compliance with PCI DSS requirements while also maintaining business operations? **Options:** A) Annual PCI DSS assessment B) Third-party validation C) Customized approach D) Implementation of compensating controls,C
79,"In the context of the RED cipher machines, what does cryptanalysis entail? **Options:** A) Searching for normalized kappa values B) Evaluating the performance characteristics of the machine C) Decrypting the ciphertext without prior knowledge of the plaintext or key D) Applying letter substitutions to ciphertext",C
80,Why is the Communications Decency Act relevant in the context of cybersecurity? **Options:** A) To promote access to uncensored information online B) To protect children from harmful content on the Internet C) To secure government communication networks D) To regulate ethical practices during online communication,B
81,"When assessing risks quantitatively, multiplying asset value by exposure factor (EF) yields what result? **Options:** A) Actual cost evaluation (ACV) B) Annualized loss expectancy (ALE) C) Risk elimination D) Single loss expectancy (SLE)",D
82,Which components comprise an extranet? **Options:** A) LAN and WAN B) Public Internet only C) Private network only D) Public Internet and private network,D
83,Which of the following is a key element of incident response in cybersecurity? **Options:** A) Blaming employees for security incidents B) Quickly identifying and resolving security incidents C) Ignoring security incidents to avoid panic D) Denying the existence of security incidents,B
84,Which of the following is a function provided by an SSO product to support the use of smart card security tokens for increased security? **Options:** A) Ability to Support Scripting B) Support a Standard Primary loginid Format C) Support Masking/Generics D) Smart Card Tokens,D
85,"In the context of encryption, which type of key is used for both encryption and decryption of the same data? **Options:** A) Symmetrical key B) Private key C) Public key D) Asymmetrical key",A
86,What schedule is recommended for the ethical hacking testing? **Options:** A) Testing periodically to keep up with advancements in hacker technology and system changes. B) Testing once a year to ensure thorough testing. C) Testing randomly and infrequently to avoid disrupting daily operations. D) Testing bi-annually to allow for significant system changes to occur.,A
87,What does firewalking involve in terms of probing a firewall's configuration? **Options:** A) Modifying the settings of a firewall to allow unauthorized traffic B) Sending TCP and UDP packets at the firewall to determine ACL configurations C) Sending multiple spoofed requests to the firewall to overwhelm its resources D) Analyzing the content of packets to discern firewall rules,B
88,When should the risk and cost findings be summarized in the Information Security Risk Document? **Options:** A) At the Certification Checkpoint B) At the end of the Analyze stage C) At the Requirements stage D) At the beginning of the SDSM process,B
89,"Which protocol provides integrity, authentication, sequence integrity, and non-repudiation, but not confidentiality? **Options:** A) Internet Security Association and Key Management Protocol (ISAKMP) B) Encapsulating Security Payload (ESP) C) Authentication Header (AH) D) Public Key Infrastructure (PKI)",C
90,Which of the following is a critical component of cryptography to ensure secure data transmission? **Options:** A) Residue class of integers B) Complexity of the encryption algorithm C) Correct mapping or function D) Probabilistic encryption,C
91,"Which framework offers guidelines specifically addressed towards information security, with widely-known standards such as BS 7799 and its descendants? **Options:** A) ISO 27000 B) Committee of Sponsoring Organizations of the Treadway Commission C) Basel II D) Balanced Scorecard",A
92,What is the preferred encryption option for sending large amounts of data? **Options:** A) Asymmetric encryption B) Public Key Cryptography C) Diffie-Hellman scheme D) Symmetric encryption,D
93,What is the process of converting sensitive data into an unreadable form to prevent unauthorized access? **Options:** A) Decryption B) Hashing C) Encryption D) Obfuscation,C
94,What method is recommended to protect e-mail servers from virus-infected messages that enter the internal networks through portable computing devices and remote access to remote email accounts? **Options:** A) Upgrading the e-mail clients with the latest security patches B) Installing antivirus software on all workstations C) Scanning all email messages on the internal e-mail servers D) Blocking IMAP and POP TCP ports on the firewalls,C
95,What is the primary method of propagation for a worm? **Options:** A) Moving from one systems to another across networks. B) Infecting system memory and continuously reinfecting files. C) Self-replication within the same file. D) Infecting documents through macro scripts.,A
96,Which of the following is a valid reason for an organization to consider using the customized approach to meet a PCI DSS requirement? **Options:** A) To define a compensating control B) Legitimate and documented technical or business constraints C) Simplification of the annual PCI DSS assessment process D) To avoid the need for ongoing monitoring of controls,B
97,What should be included in the Security Plan/Concept of Operations in the C&A process? **Options:** A) Guidance on potential threats and vulnerabilities B) Security measures to address system security requirements C) List of system deficiencies D) An analysis of the system architecture,B
98,"Which of the following would lower the level of password security? **Options:** A) After a set number of failed attempts, the server will lock the user out, forcing her to call the administrator to re-enable her account. B) All passwords are set to expire after 30 days. C) Passwords must be greater than eight characters and contain at least one special character. D) Complex passwords that users cannot change are randomly generated by the administrator.",D
99,Which domain would be considered suspicious and potentially fraudulent? **Options:** A) login.microsoft.com B) www.microsoft.com C) secure-login.microsoft.com D) microsoft.secure-login.com,D
100,What is the main purpose of server enumeration in the context of cybersecurity? **Options:** A) Determining what services are running and extracting information from those services B) Scanning for system vulnerabilities C) Identifying network protocols and port numbers D) Extracting user information from a network,A
101,What is the primary objective of an injection attack? **Options:** A) To obtain sensitive information of users B) To overload the server with massive amounts of data C) To test the server's response time D) To pass exploit code to the server through poorly designed input validation,D
102,What technology is used to control access both to wired and wireless LANs under the IEEE 802.1x standard? **Options:** A) Authentication servers B) Dynamic WEP keys C) MAC address checking D) Router filters,A
103,Which action capability in panels grants the ability to insert a new row? **Options:** A) Add B) Update/Display All C) Update/Display D) Correction,A
104,Which cryptographic algorithm is commonly used as the asymmetric component in a hybrid cryptosystem? **Options:** A) CBC (Cipher Block Chaining) B) DES (Data Encryption Standard) C) AES (Advanced Encryption Standard) D) RSA (Rivest‐Shamir‐Adleman),D
105,What is the objective of risk management when risks are deemed tolerable? **Options:** A) To replace or abandon the aspect of the system at risk. B) To reduce risks with reasonable methods to a level as low as reasonably possible (ALARP). C) To utilize risks for pursuing opportunities and achieving desirable outcomes. D) To embrace and accept the risks without any intervention.,B
106,What is the essential requirement for the security of the Discrete Logarithm Integrated Encryption Scheme (DLIES) to be maintained? **Options:** A) The order q of the base point P should be at least q ≥ 1024. B) Randomly choose two primes p and q such that p*q > 2048 bits. C) The length of the prime number p should be at least 3000 bits. D) All of the above,C
107,What is the primary objective of a Web Application Firewall (WAF) in cybersecurity? **Options:** A) To encrypt network traffic between web servers B) To prevent unauthorized access to network services C) To protect web applications from security threats D) To manage user authentication and authorization for web services,C
108,What is the most basic and minimum step for securing WLANs according to best practices? **Options:** A) Enable WPA2 encryption on all access points as a minimum security measure B) Change the default SSID C) Turn off the 2.4GHz frequency band and switch exclusively to the 5GHz band D) All of the above,A
109,Which cryptographic technique is used to create a secure channel for communication over the internet? **Options:** A) Steganography B) Public key encryption C) Digital signatures D) Hashing,B
110,What is the primary security objective of a one-time pad? **Options:** A) Confidentiality B) Data integrity C) Availability D) Authentication,A
111,Which type of transmission media uses a pair of parabolic antennas to transmit and receive signals? **Options:** A) Microwave B) Optical fibers C) Infrared D) Coaxial cables,A
112,Which of the following is a good practice for detecting unauthorized changes on payment pages? **Options:** A) Implementing intrusion detection systems B) Reviewing audit logs once a month C) Regularly monitoring the system clock D) Installing additional antivirus software,A
113,What is the term used to refer to an algorithm that can perform encryption or decryption? **Options:** A) Symmetric key B) Asymmetric key C) Key D) Cipher,D
114,What information does a buffer overflow intend to control? **Options:** A) Buffer pointer B) Frame pointer C) Instruction pointer D) Stack pointer,C
115,Which symmetric encryption scheme is recommended for use in SRTP? **Options:** A) AES in ECB mode B) DES in CBC mode C) RC4 D) AES in GCM mode,D
116,What is one key element in an IT security awareness program? **Options:** A) Supported and led by example from management B) Entirely outsourced to external vendors C) Quadratically linked with IT system patching D) Complex and technical in its delivery,A
117,What must an information protection department continually provide to the entire organization to promote awareness of information protection issues? **Options:** A) No communication B) Restricted access to information C) Boring and infrequent memos D) Information and training,D
118,Which biometric property is concerned with the ability of users to resist or refuse to participate in a system that uses biometric identification? **Options:** A) Autonomy of the users B) Secondary use C) Characteristic replacement D) Ease of use,A
119,What is the term for the practice of requesting sensitive information from individuals in order to gain unauthorized access or misuse of their personal information? **Options:** A) Phishing B) Denial of Service (DoS) C) Malware D) Hacking,A
120,During a Xmas tree scan what indicates a port is closed? **Options:** A) A single RST packet B) ACK C) No return response D) SYN,A
121,What security benefit is derived from the use of smartcard chips alongside magnetic strips in ATM cards? **Options:** A) Increased physical durability B) Ease of use C) Protection against chip malfunctions D) Enhanced tamper resistance,D
122,What is the role of the librarian in an operations setting? **Options:** A) Daily operations of the systems and applications B) Recovering aged backups for reuse C) Providing first-level support for the users D) Maintaining various media and protecting organization from corrupt or contaminated media,D
123,"What best characterizes a flaw in hardware, firmware, communication, or software that exposes a computer processing system to potential exploitation? **Options:** A) Ransomware B) Phishing C) Technical vulnerability D) Buffer Overflow",C
124,What system resource is typically used as bait for attackers in order to gather relevant information about attack processes and new malicious code? **Options:** A) Honeypot B) Firewall C) Virtual Private Network (VPN) D) Intrusion Prevention System,A
125,"When segmenting internal traffic between layer 2 devices on the LAN, which network design element is most likely to be used? **Options:** A) VLAN B) DMZ C) Routing D) NAT",A
126,Which choice is NOT an accurate description of C.I.A.? **Options:** A) I stands for integrity. B) A stands for authorization. C) A stands for availability. D) C stands for confidentiality.,B
127,What record would you use to obtain the list of mail servers for a domain? **Options:** A) dig domain.com @mx B) whois mx zone= domain.com C) netstat zone= domain.com mx D) dig mx domain.com,D
128,Which tool is commonly used to perform wireless network hacking? **Options:** A) Nmap B) WireShark C) AirCrack-ng D) Metasploit,C
129,What determines the value of the tweak in XTS-AES mode for a specific block of data? **Options:** A) The symmetric key used for encryption B) The length of the plaintext block C) The block number within the data unit D) A unique value assigned to each data unit,C
130,Which option is NOT a reason to update the business continuity plan? **Options:** A) Personnel changes B) Infrastructure changes C) Organizational changes D) Budget changes,D
131,What is the primary requirement for the secure time service used in a Kerberos implementation? **Options:** A) Strictly Synchronized Clocks B) Automatic Failover C) Real-Time Propagation D) Secure Remote Administration,A
132,Which protocol for wireless ad hoc networks is based on link state protocols and uses signatures to protect link state updates? **Options:** A) WEP B) ARAN C) SPINS D) SLSP,D
133,Which feature of IKEv1 is now an integral part of the IKEv2 core specification? **Options:** A) Aggressive mode B) Revised mode C) Main mode D) NAT traversal,D
134,What type of system could you use to trap and monitor an attacker? **Options:** A) Honeypot B) Next-generation firewall C) Web application firewall D) DMZ,A
135,What is the first function specified by NIST in its Cybersecurity Framework? **Options:** A) Defend B) Identify C) Risk management D) Protect,B
136,"What are the properties that fingerprints need to present in order to achieve practical implementations? **Options:** A) Universality, impermanence, and collectability B) Universality, uniqueness, and impermanence C) Uniqueness, impermanence, and collectability D) Universality, uniqueness, and permanence",D
137,What term is used to describe the authority to regulate activities and make decisions about a specific subject matter? **Options:** A) Subject matter jurisdiction. B) Territorial jurisdiction. C) Enforcement jurisdiction. D) Prescriptive jurisdiction.,A
138,Which concept refers to making sure no one gets unauthorized access to information and can be achieved through the use of encryption? **Options:** A) Availability B) Possession C) Integrity D) Confidentiality,D
139,"What type of attack occurs when an attacker captures, modifies, and retransmits data over a network to impersonate the sender or receiver? **Options:** A) Replay attack B) Smurf attack C) Hijacking D) Man-in-the-middle attack",D
140,What is one reason for using a scan like an ACK scan as mentioned in the content? **Options:** A) It may get through firewalls and IDS devices. B) The code in nmap is more robust. C) It is better supported. D) An ACK scan is needed for scripting support.,A
141,What is the primary purpose of a stream cipher? **Options:** A) To encipher data one bit at a time B) To encipher data in fixed-size blocks C) To compress data for efficient storage D) To secure data transmission over public networks,A
142,"In a layered defense, what does deterrence aim to achieve? **Options:** A) Simulate additional layers of protection B) Delay unauthorized access attempts C) Discourage attempts by making the prize less appealing than the risk D) Increase the number of access control systems",C
143,Which organization provides a Cybersecurity Framework for highlighting phases in which businesses should consider implementing security controls? **Options:** A) IEEE B) ISO C) NIST D) ISC,C
144,"In the context of trade secrets, what does DTSA refer to? **Options:** A) Domestic Trade Secret Act B) Defend Trade Secrets Act C) Duty to Safeguard Trade Secrets D) Digital Trade Secrets Authority",B
145,What is a potential approach for firms to ensure security when investing in a serious firewall system? **Options:** A) To use a simple filtering router that requires little maintenance. B) To create multiple networks with different security policies based on department needs. C) To have a single large corporate firewall for the entire organization. D) To invest in elaborate central installations that impose greater operational costs.,B
146,How can a security professional detect unexplained changes in system files that may indicate the presence of a rootkit? **Options:** A) Rely on system audit logs to identify unauthorized modifications to system files. B) Manually review the size and attributes of all system files in the directory. C) Using multiple hashing algorithms and comparing the hash values from different points in time. D) Depend exclusively on anti-virus software to identify changes in system files.,C
147,What cryptographic concept does the paper 'High Confidence Visual Recognition of Persons by a Test of Statistical Independence' focus on? **Options:** A) Hash Functions B) Steganography C) Biometrics D) Digital Signatures,C
148,What attack is related to ARP and involves altering the domain-name-to-IP-address mappings in a DNS system? **Options:** A) Hyperlink spoofing B) Impersonation C) DNS spoofing D) Replay attack,C
149,"In a Public Key Infrastructure (PKI), what is the mechanism used to validate the identity of certificate subjects in a decentralized model for verification? **Options:** A) Certificate revocation B) Nonverifiability C) Centralized authority D) Web of trust",D
150,Which cryptographic primitive provides information-theoretic security? **Options:** A) One-Time Pad B) DLP C) PRF D) RSA,A
151,What makes network administrators constantly change security protocols? **Options:** A) Evolution of cyber threats B) Stagnant security solutions C) Decrease in technology advancements D) Limited network infrastructure,A
152,Which protocol can be used to determine port openness? **Options:** A) IPSec B) ICMP C) FTP D) HTTP,B
153,"Why do proponents of closed source software argue that many eyes reviewing open source code does not necessarily lead to improved security? **Options:** A) Even if reviewed, many developers cannot understand security at a deep enough level to find problems. B) Open source code is often messy and difficult to review thoroughly. C) None of the above. D) Both A and B.",D
154,"In a symmetric cryptosystem, what is used to ensure an attacker can't merely continue altering the plaintext to determine the key? **Options:** A) Transposition B) Confusion C) Polymorphism D) Diffusion",D
155,What is the process for establishing the controls required to protect the organization? **Options:** A) Management support B) Policy development C) Continuous improvement D) Procedure writing,B
156,How often should user accounts and access privileges to in-scope system components be reviewed under PCI DSS 4.0 to ensure they are appropriate based on job functions? **Options:** A) At least once every six months B) At least once every 18 months C) At least once every three months D) At least once every 12 months,A
157,Which aspect does the Detect function of the NIST Cybersecurity Framework primarily focus on? **Options:** A) Isolating incidents and applying mitigation steps B) Identifying anomalies and events C) Restoring normal business operations D) Identifying risk to the business,B
158,Which essential characteristic of cloud computing refers to the ability to expand and reduce resources according to specific service requirements? **Options:** A) On-demand self-service B) Measured service C) Rapid elasticity D) Broad network access,C
159,What is the primary purpose of a firewall in a network infrastructure? **Options:** A) To encrypt wireless traffic B) To authenticate users C) To manage network traffic D) To enforce access control policies,D
160,What is the term for a group that is commutative? **Options:** A) Cyclic group B) Permutation group C) Normal group D) Abelian group,D
161,"In Pretty Good Privacy (PGP), what cryptographic technique is used for encrypting data? **Options:** A) DES algorithm B) Asymmetric encryption C) Symmetric encryption D) A hybrid cryptosystem merges symmetric and public-key encryption.",D
162,What is the function of a stateful inspection firewall? **Options:** A) Monitors and matches network packets to a set of rules B) Performs deep packet inspection C) Enforces security policy at the application layer D) Inspects the state of network connections,D
163,What is another term for technical controls? **Options:** A) Logical controls B) Access controls C) Preventative controls D) Detective controls,A
164,Which of the following is a common biometric factor used for authentication? **Options:** A) Account password B) Email challenge C) Device fingerprinting D) Retina scans,D
